Concentration (uM)	Log concentration	V Mean	V Deviation	V Rel. Mean	V Rel. Deviation	Ras mean	Ras deviation	Ras Rel. Mean	Ras Rel. Deviation
0		3.221751697	0.056568542	1	0.017558319	3.467978917	0.014798649	1	0.004267226
3	0.477121255	3.003516122	0.206710748	0.932261827	0.064160981	3.509997434	0.005196152	1.01211614	0.001498323
6	0.77815125	3.181998586	0.004242641	0.987661026	0.001316874	3.577325655	0.009073772	1.031530393	0.002616444
9	0.954242509	2.007994455	0.140631907	0.623261705	0.043650759	3.443649186	0.083763556	0.992984464	0.024153421
12	1.079181246	1.967649675	0.010016653	0.610739082	0.00310907	2.408525861	0.187601528	0.694504182	0.054095348
15	1.176091259	1.463127472	0.177483802	0.454140359	0.055089224	2.041194249	0.242862787	0.588583235	0.070030064
18	1.255272505	0.831094459	0.167584307	0.257963536	0.052016519	1.494356049	0.183847763	0.430901134	0.053012941
21	1.322219295	1.02148813	0.111015765	0.317059856	0.0344582	1.578452532	1.185667323	0.455150556	0.341890003
24	1.380211242	2.203853486	0.184130389	0.684054419	0.057152259	2.636928046	0.089802561	0.760364497	0.025894783
27	1.431363764	2.439031297	0.248085335	0.757051296	0.077003245	3.477480893	0.044015149	1.002739917	0.012691873
30	1.477121255	2.239220614	0.054993939	0.695032027	0.017069577	2.515868981	0.599543437	0.725456827	0.172879781
33	1.51851394	1.617774706	0.165462987	0.502141337	0.051358082	2.437975974	0.601499238	0.702996192	0.173443741
36	1.556302501	0.719955554	0.011313708	0.223467114	0.003511664	1.246587866	0.154243314	0.359456587	0.044476428
39	1.591064607	0.629042031	0.187126517	0.195248452	0.058082228	1.217098289	0.232981401	0.350953197	0.067180743
									
									
Concentration (uM)	Log concentration	PB Mean	PB Deviation	PB Rel. Mean	PB Rel. Deviation	Ras mean	Ras deviation	Ras Rel. Mean	Ras Rel. Deviation
0		0.094915752	0.005656854	1	0.059598685	0.160436903	0.006363961	1	0.039666441
3	0.477121255	0.104489234	0.00212132	1.100862942	0.022349504	0.157797338	0.011313708	0.983547644	0.070518115
6	0.77815125	0.093498663	0.000707107	0.985070033	0.007449838	0.165996988	0.001414214	1.034655898	0.008814768
9	0.954242509	0.093531813	0.006110101	0.985419291	0.064373941	0.142485379	0.008736895	0.888108511	0.054456891
12	1.079181246	0.088950779	0.003605551	0.937155078	0.037986856	0.12665968	0.011532563	0.789467246	0.071882234
15	1.176091259	0.091586678	0.004725816	0.964926011	0.049789586	0.097	0	0.604599055	0
18	1.255272505	0.085498538	0.000707107	0.900783444	0.007449838	0.075236586	0.009712535	0.468948132	0.060538036
21	1.322219295	0.065992424	0.001414214	0.695273678	0.014899677	0.053553939	0.008544004	0.333800628	0.053254606
24	1.380211242	0.074773897	0.015534907	0.787792283	0.163670483	0.08260049	0.013503086	0.514847198	0.084164464
27	1.431363764	0.073993243	0.001414214	0.779567579	0.014899677	0.076913999	0.024440404	0.479403414	0.152336548
30	1.477121255	0.073444773	0.007023769	0.773789086	0.074000035	0.062678636	0.011372481	0.390674682	0.070884446
33	1.51851394	0.052528873	0.004725816	0.553426295	0.049789586	0.075940766	0.015874508	0.473337272	0.09894549
36	1.556302501	0.012	0.040112342	0.126427908	0.422609958	0.042474217	0.010503968	0.264740943	0.065471022
39	1.591064607	0.056480085	0.00212132	0.595054918	0.022349504	0.022395067	0.004163332	0.139588004	0.025949965
									
									
Concentration (uM)	Log concentration	PB Mean	PB Deviation	PB Rel. Mean	PB Rel. Deviation	Ras mean	Ras deviation	Ras Rel. Mean	Ras Rel. Deviation
0		0.384590031	0.097899608	1	0.254555761	0.333583391	0.027790886	1	0.083310161
3	0.477121255	0.271990772	0.105836352	0.707222627	0.275192656	0.348131787	0.121049577	1.043612471	0.362876511
6	0.77815125	0.220843183	0.010148892	0.574230129	0.026388859	0.12473754	0.145898366	0.373932106	0.437366997
9	0.954242509	0.19643949	0.023028967	0.510776344	0.059879261	0.196575637	0.070237692	0.589284845	0.210555123
12	1.079181246	0.185090776	0.011676187	0.481267742	0.030360088	0.225184376	0.010016653	0.675046726	0.030027433
15	1.176091259	0.116811883	0.017785762	0.303730918	0.04624603	0.082066969	0.053500779	0.246016352	0.160382023
18	1.255272505	0.126925473	0.005291503	0.330027985	0.013758815	0.145793352	0.009539392	0.437052191	0.028596724
21	1.322219295	0.08749748	0.020808652	0.227508445	0.054106062	0.044548069	0.012055428	0.133544026	0.036139173
24	1.380211242	0.204217249	0.048686069	0.530999851	0.126592124	0.197577612	0.113221023	0.592288517	0.339408454
27	1.431363764	0.157650566	0.050063293	0.409918493	0.130173143	0.227424217	0.053200877	0.681761212	0.159482991
30	1.477121255	0.11656188	0.029816103	0.303080867	0.077526978	0.187364574	0.022810816	0.561672371	0.06838115
33	1.51851394	0.100258	0.01473092	0.260687984	0.038302917	0.07227365	0.03300505	0.216658419	0.098940927
36	1.556302501	0.090290911	0.030105371	0.234771845	0.078279125	0.087010964	0.01274101	0.260837219	0.038194378
39	1.591064607	0.034097758	0.015631165	0.088660015	0.040643708	0.113137588	0.079033748	0.339158337	0.23692351
